id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
lfa,meet,i,en,409.42,2899.28,146.93,396.05,403.65,405.31,444.84,397.23,2873.29,2878.19,2889.06,2891.34,2964.50
lfa,beet,i,en,382.61,2746.36,292.02,416.46,412.34,402.86,348.55,332.86,2627.21,2724.01,2820.51,2798.13,2761.95
lfa,feet,i,en,347.50,2731.07,183.19,396.15,365.27,349.56,328.47,298.03,2667.60,2750.55,2730.29,2759.67,2747.24
lfa,seat,i,en,353.38,2614.86,265.58,353.39,410.33,381.57,333.96,287.66,2588.30,2628.58,2672.52,2588.68,2596.21
lfa,feet,i,en,349.51,2680.85,256.63,375.16,407.06,398.97,296.15,270.19,2624.13,2703.98,2680.31,2680.90,2714.93
lfa,fleet,i,en,350.56,2654.44,284.94,400.79,422.94,322.59,299.96,306.53,2563.22,2666.32,2694.76,2699.75,2648.15
lfa,moss,a,en,567.20,1076.54,1132.21,610.40,544.29,535.17,842.65,303.47,1042.12,959.30,1094.18,1218.23,1068.86
lfa,fought,a,en,662.13,1208.56,347.91,587.15,644.31,674.49,673.77,730.92,1096.47,1191.00,1215.95,1188.95,1350.41
lfa,sought,a,en,694.54,1168.53,411.79,730.09,660.53,669.67,682.42,729.99,1202.12,1053.33,1090.48,1251.33,1245.39
lfa,caught,a,en,690.71,1349.19,282.01,666.05,722.15,682.78,698.25,684.30,1441.22,1400.00,1325.87,1259.89,1318.96
lfa,brought,a,en,695.27,1228.78,368.11,764.04,688.67,671.83,668.40,683.41,1301.25,1199.94,1165.45,1146.72,1330.53
lfa,moot,u,en,358.65,636.32,624.75,437.32,375.48,366.01,346.87,267.59,442.69,568.15,560.29,590.42,1020.05
lfa,boot,u,en,378.74,842.96,329.61,364.83,365.71,336.75,391.43,434.99,778.68,764.33,779.06,853.85,1038.89
lfa,food,u,en,396.20,1057.62,445.39,375.86,373.27,378.50,413.83,439.56,930.39,947.39,980.40,1063.07,1366.84
lfa,soothe,u,en,390.96,1177.37,530.38,365.07,366.85,390.41,401.97,430.53,1328.95,1119.59,1055.70,1078.57,1304.06
lfa,cooed,u,en,385.06,1186.81,668.69,375.09,369.17,429.34,450.49,301.20,973.49,1046.03,1036.73,1376.47,1501.34
lfa,dude,u,en,359.14,1890.22,324.40,350.03,357.24,357.21,353.12,378.10,2019.18,1916.47,1834.93,1793.01,1887.54
lfa,mis,i,sp,383.55,2459.12,2106.52,403.38,423.94,417.90,390.39,282.12,2819.58,2803.61,2857.09,2895.78,919.55
lfa,bis,i,sp,348.56,2632.18,436.97,371.83,411.19,393.13,264.64,302.01,2631.35,2663.96,2700.10,2689.39,2476.12
lfa,pis,i,sp,302.42,2656.08,308.10,366.82,337.86,252.24,273.01,282.15,2621.87,2662.63,2678.47,2720.58,2596.85
lfa,cito,i,sp,374.41,2625.88,251.35,377.92,399.89,389.40,379.08,325.76,2552.94,2639.88,2678.32,2678.11,2580.16
lfa,fito,i,sp,302.96,2588.93,688.55,329.47,342.17,304.01,279.75,259.42,2600.07,2710.08,2703.93,2720.09,2210.49
lfa,quito,i,sp,379.25,2769.20,266.34,383.42,426.62,439.42,407.73,239.07,2775.22,2767.45,2774.46,2753.78,2775.10
lfa,mas,a,sp,492.34,1061.19,853.11,379.55,558.19,510.87,713.95,299.10,1027.26,1040.45,1061.74,1058.84,1117.66
lfa,vas,a,sp,862.65,1167.87,1230.07,831.44,673.69,933.90,1001.45,872.76,915.01,912.61,1056.52,1157.11,1798.10
lfa,pasa,a,sp,852.14,1033.80,564.53,812.91,887.94,832.18,884.57,843.08,1093.11,981.09,1073.07,1131.08,890.66
lfa,sala,a,sp,817.61,1275.94,428.81,772.03,843.77,810.94,829.95,831.38,1189.00,1097.08,1305.68,1383.54,1404.39
lfa,fama,a,sp,898.42,1408.97,656.53,833.30,907.79,871.99,963.25,915.76,1172.34,1406.79,1489.46,1396.18,1580.08
lfa,cama,a,sp,848.79,1443.53,1070.08,791.08,896.45,935.92,940.12,680.39,1770.24,1731.64,1683.70,1066.88,965.18
lfa,musa,u,sp,424.65,994.49,1192.83,522.75,516.76,443.20,336.71,303.83,827.88,1195.11,801.95,955.58,1191.94
lfa,bulto,u,sp,396.55,1074.13,782.30,395.55,412.62,413.88,365.71,394.99,802.39,898.66,940.04,1152.77,1576.77
lfa,puso,u,sp,412.94,996.69,415.95,397.19,385.66,407.33,422.54,452.00,913.54,948.67,977.23,927.29,1216.71
lfa,supo,u,sp,423.02,1177.06,443.83,417.20,420.51,419.78,431.76,425.85,1328.50,1190.64,1154.29,1211.47,1000.39
lfa,fumo,u,sp,310.31,727.42,384.92,343.91,303.20,275.84,318.59,310.00,694.41,652.31,669.35,686.58,934.46
lfa,cura,u,sp,422.53,867.89,214.64,429.81,412.02,411.42,422.39,437.03,817.78,808.57,830.15,881.84,1001.11
